female,white,black,hisp,asian,married,age,collegeS,collegeM,collegeD,calc,books,mathLike,income,big5O,big5C,big5E,big5A,big5N,AMAS,BDI,MCS,GSES,vocabPre,mathPre,vocabPost,mathPost,MCSpost,mathGrp,mathSel,logAge,logBooks,logBDI
1,1,0,0,0,0,41,1,0,0,1,5,1,1,33,11,37,17,22,12,17,14,15,18,11,17,11,16,0,0,3.713572067,1.791759469,2.833213344
0,1,0,0,0,0,33,0,0,1,1,5,0,1,16,17,29,30,19,20,26,15,17,18,10,20,6,16,1,0,3.496507561,1.791759469,3.258096538
0,1,0,0,0,1,46,1,1,0,0,10,0,1,13,30,33,31,20,45,25,6,15,19,10,16,8,6,1,0,3.828641396,2.397895273,3.218875825
0,1,0,0,0,0,40,0,0,0,0,5,1,0,29,9,25,24,40,9,13,20,24,14,7,16,5,20,0,0,3.688879454,1.791759469,2.564949357
0,1,0,0,0,0,27,1,0,0,0,0,0,1,26,9,27,40,39,13,13,7,23,13,7,16,8,7,0,0,3.295836866,0,2.564949357
1,1,0,0,0,0,40,1,0,0,0,15,0,0,42,12,39,15,22,20,16,9,10,13,8,17,10,8,0,0,3.688879454,2.772588722,2.772588722
0,1,0,0,0,0,37,0,0,1,1,5,1,1,32,15,28,12,30,17,14,16,20,11,11,12,13,19,1,1,3.610917913,1.791759469,2.63905733
0,1,0,1,0,0,38,1,1,0,0,5,0,1,22,19,30,18,20,14,13,10,17,19,12,22,10,9,0,1,3.63758616,1.791759469,2.564949357
0,1,0,0,0,1,45,0,0,0,0,0,0,0,26,25,28,14,21,29,23,6,19,20,10,21,12,6,0,0,3.80666249,0,3.135494216
1,0,0,1,0,1,45,0,0,0,0,5,0,1,36,17,30,18,27,31,13,12,18,16,8,16,5,12,0,0,3.80666249,1.791759469,2.564949357
1,1,0,0,0,0,31,0,0,0,0,10,0,0,18,20,35,11,25,25,13,6,11,14,1,13,5,6,0,0,3.433987204,2.397895273,2.564949357
0,1,0,0,0,0,41,0,0,0,1,5,1,0,23,24,21,15,32,26,28,13,19,23,3,22,5,13,0,0,3.713572067,1.791759469,3.33220451
1,1,0,0,0,1,45,1,1,1,1,15,0,0,20,16,19,18,32,11,15,23,24,22,9,19,15,24,0,1,3.80666249,2.772588722,2.708050201
1,1,0,0,0,1,64,1,0,0,0,30,1,1,27,17,27,23,29,27,15,13,18,22,7,19,6,12,1,0,4.158883083,3.433987204,2.708050201
0,0,0,0,1,1,39,1,1,1,1,0,0,1,31,18,29,18,31,12,13,13,18,14,12,18,14,18,1,1,3.663561646,0,2.564949357
1,1,0,0,0,1,60,0,0,0,0,15,1,1,24,16,16,34,25,30,14,8,19,17,6,19,2,8,0,1,4.094344562,2.772588722,2.63905733
0,1,0,0,0,0,55,0,0,0,0,0,1,1,30,17,35,20,36,9,13,17,21,13,9,20,12,17,0,1,4.007333185,0,2.564949357
0,1,0,0,0,0,23,0,1,1,1,5,0,1,24,17,37,19,21,25,22,7,17,14,10,15,10,7,0,0,3.135494216,1.791759469,3.091042453
0,1,0,0,0,0,34,1,0,0,0,10,1,1,23,11,11,16,33,15,15,15,22,12,4,8,10,17,1,1,3.526360525,2.397895273,2.708050201
1,1,0,0,0,0,30,0,1,0,0,5,0,1,18,16,18,12,18,23,20,24,13,17,9,15,6,24,1,1,3.401197382,1.791759469,2.995732274
0,1,0,0,0,1,58,0,0,0,0,5,0,1,17,9,10,9,39,10,13,6,22,13,8,16,4,6,0,0,4.060443011,1.791759469,2.564949357
0,1,0,0,0,0,36,0,0,0,0,0,0,1,32,27,35,38,23,13,16,6,18,13,7,16,8,6,0,0,3.583518938,0,2.772588722
0,1,0,0,0,0,60,1,1,1,1,10,0,1,24,34,34,29,11,15,24,20,13,21,12,23,15,19,0,0,4.094344562,2.397895273,3.17805383
0,1,1,0,0,0,29,1,1,1,1,10,1,1,12,9,20,15,34,9,13,24,24,22,12,19,14,24,0,1,3.36729583,2.397895273,2.564949357
0,1,0,0,0,0,27,0,1,0,1,5,0,1,31,22,29,27,33,17,15,8,20,8,4,15,5,6,1,0,3.295836866,1.791759469,2.708050201
0,1,0,0,0,0,40,0,0,0,1,10,0,0,15,18,24,17,33,31,15,12,18,21,8,19,8,12,1,0,3.688879454,2.397895273,2.708050201
1,1,0,0,0,0,48,0,0,0,0,20,0,0,17,9,36,21,10,34,24,16,12,13,8,18,5,16,0,0,3.871201011,3.044522438,3.17805383
1,1,0,0,0,0,38,0,0,0,0,10,1,1,36,12,27,17,29,13,17,7,20,9,5,10,6,6,1,0,3.63758616,2.397895273,2.833213344
1,0,0,1,0,0,38,1,0,0,0,5,0,0,18,20,23,25,16,23,25,9,17,19,4,17,4,17,1,0,3.63758616,1.791759469,3.218875825
1,1,0,0,0,0,55,1,0,0,1,5,1,1,33,16,30,22,24,16,23,16,17,14,11,17,15,18,1,1,4.007333185,1.791759469,3.135494216
1,1,0,0,0,1,32,1,0,0,1,60,0,1,13,9,28,12,38,13,13,12,23,16,4,23,5,12,0,0,3.465735903,4.110873864,2.564949357
1,1,1,0,0,0,30,0,0,0,0,20,0,0,12,26,27,31,15,16,39,11,21,12,8,15,9,16,1,0,3.401197382,3.044522438,3.663561646
1,0,1,0,0,0,49,1,0,0,0,5,1,0,24,10,14,20,29,21,13,14,19,12,10,16,13,22,1,1,3.891820298,1.791759469,2.564949357
0,1,0,0,0,1,33,0,0,0,0,0,0,0,17,11,24,14,22,41,15,10,18,10,1,12,3,16,1,0,3.496507561,0,2.708050201
1,1,0,0,0,0,46,1,0,0,1,5,0,0,21,21,34,23,23,21,17,14,16,23,12,21,15,23,1,1,3.828641396,1.791759469,2.833213344
0,1,0,0,0,0,51,1,1,1,1,5,0,0,33,22,14,30,32,9,17,24,21,13,11,18,12,24,1,1,3.931825633,1.791759469,2.833213344
1,1,0,0,0,1,40,1,0,0,1,0,1,1,31,24,21,27,28,24,17,13,12,9,4,4,4,15,0,0,3.688879454,0,2.833213344
0,1,0,0,0,0,50,0,0,0,0,20,1,0,50,33,39,32,13,28,38,6,6,23,11,22,9,6,0,0,3.912023005,3.044522438,3.63758616
0,1,0,0,0,0,30,0,0,0,1,5,1,0,14,10,26,14,39,14,14,24,23,14,10,18,14,24,0,0,3.401197382,1.791759469,2.63905733
0,1,0,0,0,0,37,0,0,0,1,15,0,0,21,19,31,16,33,15,18,16,21,14,10,15,10,15,1,0,3.610917913,2.772588722,2.890371758
0,1,0,0,0,0,33,0,0,0,1,10,0,0,21,16,22,18,29,26,21,11,15,12,4,14,3,12,1,0,3.496507561,2.397895273,3.044522438
1,1,0,0,0,1,30,1,1,1,1,15,0,1,22,28,25,26,21,20,36,21,21,9,4,7,9,19,1,1,3.401197382,2.772588722,3.583518938
1,1,0,0,0,0,60,1,0,0,1,0,1,0,29,11,37,16,18,11,20,16,8,17,10,22,12,16,0,1,4.094344562,0,2.995732274
1,1,0,0,0,0,40,1,0,0,0,10,0,0,19,28,28,39,15,25,44,8,12,14,3,18,8,8,0,0,3.688879454,2.397895273,3.784189634
